Name,GrayInk,BlackInk,HoF_Monitor,HoF_Standards
Billy Hoeft,48,1,13,0
Sherry Smith,47,6,12,11
Russ Ortiz,47,4,28,10
Ray Herbert,47,1,0,0
Phil Marchildon,47,0,0,0
Nick Cullop,47,3,0,16
Jouett Meekin,47,3,43,10
Jaime Navarro,47,0,0,0
Jack Harshman,47,0,0,10
Dummy Taylor,47,2,30,15
Doc Ayers,47,0,0,14
Dick Ellsworth,47,0,12,0
Bill Swift,47,4,14,12
Bill Swift,47,4,14,12
Vinegar Bend Mizell,46,0,0,0
Luis Severino+,46,0,21,22
Lindy McDaniel,46,12,38,19
Joe Horlen,46,7,21,16
Jim O'Toole,46,0,21,11
George Blaeholder,46,1,0,0
Chan Ho Park,46,3,20,15
Vern Bickford,45,6,13,0
Trevor Hoffman*,45,6,159,19
Mickey Haefner,45,0,0,0
Jose Lima,45,1,14,0
Joey Jay,45,5,26,0
Jim Clancy,45,2,14,12
George Haddock,45,1,29,0
Egyptian Healy,45,0,14,0
Dave Koslo,45,7,11,0
Dan Petry,45,0,19,12
Bob Tewksbury,45,7,11,0
Bob Smith,45,0,0,0
Bill Hoffer,45,10,39,18
Ben Sheets,45,0,19,11
Ted Lilly,44,1,12,16
Sonny Gray+,44,1,0,12
Rich Gossage*,44,9,109,19
John Montefusco,44,0,15,11
Hugh Casey,44,6,20,19
Clem Labine,44,7,29,14
Bob Harmon,44,1,17,10
Tony Cloninger,43,0,17,0
Sparky Lyle,43,7,65,18
Scott Stratton,43,13,38,0
Lee Viau,43,0,21,0
Jersey Bakley,43,0,18,0
Jack Kramer,43,3,24,0
Guy Morton,43,0,0,13
George McQuillan,43,0,19,20
Elam Vangilder,43,0,0,0
Clint Brown,43,10,0,0
Carl Pavano,43,3,17,0
Bill Hands,43,2,16,13
Zane Smith,42,3,0,0
Vic Aldridge,42,0,22,0
Mike Krukow,42,1,0,11
Lou Brissie,42,0,0,0
Jeff Samardzija+,42,6,12,0
Jack Pfiester,42,4,37,32
Irv Young,42,12,14,13
Ed Willett,42,0,17,11
Denny Driscoll,42,6,0,14
Dave Ferriss,42,3,32,20
Slim Harriss,41,1,0,0
Scott Sanderson,41,0,16,22
Red Barrett,41,9,17,0
Matt Morris,41,5,25,15
Mace Brown,41,8,10,10
Lady Baldwin,41,11,58,28
Ken Chase,41,0,0,0
Jim Barr,41,2,0,10
Jack Wilson,41,0,0,0
Esteban Loaiza,41,5,18,0
Erik Hanson,41,0,13,0
Don Wilson,41,2,14,16
Bob Porterfield,41,9,13,0
Bill Voiselle,41,9,14,0
Bill Sweeney,41,11,36,25
Al Pratt,41,4,0,0
Al Javery,41,4,0,0
Tom Brewer,40,0,0,0
Ted Lewis,40,3,24,15
Russ Meyer,40,0,0,0
Randy Wolf+,40,0,0,14
Patrick Corbin+,40,1,0,0
Lloyd Brown,40,0,0,0
Kelvim Escobar,40,0,11,0
Jon Garland,40,1,17,0
John Franco,40,9,109,11
Jesse Duryea,40,0,20,0
Ian Kennedy+,40,8,15,10
Don Gullett,40,6,45,29
Billy Loes,40,0,17,10
Bernie Boland,40,0,0,15
Tom Lovett,39,3,43,13
Roger Wolff,39,0,0,0
Mike Morgan,39,0,12,11
Mike Marshall,39,13,48,11
Marius Russo,39,0,11,17
Luke Hamlin,39,1,0,0
Jim Lonborg,39,9,44,18
Ed Summers,39,0,25,26
Aaron Sele,39,0,21,15
Steve Avery,38,1,31,0
Sheriff Blake,38,1,0,0
Rudy May,38,4,22,19
Pete Vuckovich,38,10,24,12
Paul Dean,38,0,16,15
Moose Haas,38,3,0,10
Lance Lynn+,38,0,28,15
Jose DeLeon,38,6,0,11
Joe Heving,38,1,0,11
Jim Merritt,38,2,17,10
Jim Hearn,38,5,14,0
Ernie Broglio,38,6,16,0
Cy Seymour,38,10,18,0
Bob Rhoads,38,0,25,17
Bert Cunningham,38,0,20,0
Wilcy Moore,37,15,20,0
Tom Sturdivant,37,3,18,0
Ricky Nolasco+,37,0,0,0
Ray Sadecki,37,0,21,13
Ray Fisher,37,0,23,15
Pedro Astacio,37,0,0,11
Pat Dobson,37,0,28,13
Larry McWilliams,37,0,0,0
Jordan Zimmermann+,37,8,16,11
Johnny Niggeling,37,0,0,0
John Ewing,37,7,17,0
Fred Anderson,37,7,13,15
Ed Daily,37,0,21,10
Earl Hamilton,37,0,0,12
Dick Radatz,37,7,20,17
Danny Darwin,37,6,26,20
Chris Bosio,37,2,0,0
Carmen Hill,37,0,0,16
Brooks Lawrence,37,0,13,0
Bill Duggleby,37,0,13,11
Yovani Gallardo+,36,1,17,13
Virgil Barnes,36,0,11,0
Vern Kennedy,36,0,14,0
Sloppy Thurston,36,2,0,0
Rynie Wolters,36,10,0,0
Johnny Marcum,36,0,0,0
Jeff Reardon,36,3,102,13
Hugh McQuillan,36,0,16,0
Hod Eller,36,0,18,24
Ed Siever,36,4,20,16
Carl Morton,36,0,11,0
Cal McLish,36,0,12,0
Al Smith,36,0,14,0
Tony Kaufmann,35,0,0,0
Terry Mulholland,35,2,14,0
Steve Busby,35,0,18,10
Rip Collins,35,0,0,0
Phil Collins,35,3,0,0
Pete Conway,35,0,28,10
Jim Bouton,35,1,26,0
Harry Gaspar,35,3,0,15
Garland Braxton,35,7,0,0
Eric Show,35,0,0,10
Ed Crane,35,4,35,0
Dave Giusti,35,3,16,0
Dave Boswell,35,3,12,14
Chuck Estrada,35,8,13,0
Chris Archer+,35,2,13,11
Carlos Martinez+,35,3,17,16
Bill Wegman,35,0,0,0
Allen Russell,35,6,0,0
Steve Trachsel,34,0,0,11
Roy Patterson,34,0,14,19
Rosy Ryan,34,5,17,0
Mike Golden,34,0,0,0
Kirk McCaskill,34,0,0,0
Joe Oeschger,34,4,13,0
Hugh Bedient,34,3,21,14
Huck Betts,34,0,0,0
Hiroki Kuroda+,34,0,0,12
Harry Salisbury,34,0,0,0
Hank Gastright,34,3,21,0
Eddie Fisher,34,2,0,15
Dave Roberts,34,0,0,0
Clyde Wright,34,0,18,0
Cal McVey,34,3,0,0
Bob Stanley,34,0,22,10
