Player	HoF_Monitor	HoF_Standards	BlackInk	GrayInk
Juan Pierre	63	23	21	75
Juan Samuel	26	18	5	57
Juan Uribe	17	0	0	0
Julian Javier	19	0	0	0
Julio Franco	58	42	5	59
Justin Morneau	56	20	5	40
Justin Upton	41	22	0	53
Keith Hernandez	86	32	14	118
Kelly Gruber	18	0	0	0
Ken Boyer	87	36	4	138
Ken Caminiti	38	25	0	28
Ken Griffey	41	31	0	49
Ken Griffey Jr.*	235	61	26	162
Ken Keltner	37	19	1	71
Ken Singleton	39	30	0	69
Ken Williams	68	39	11	121
Kenny Lofton	91	43	15	62
Kent Hrbek	19	26	0	40
Kevin Mitchell	38	23	11	46
Kevin Seitzer	28	22	3	30
Kevin Youkilis	29	23	0	0
Khris Davis	26	0	4	27
Kiki Cuyler*	116	46	20	137
King Kelly*	64	45	23	221
Kip Selbach	32	28	0	48
Kirby Puckett*	160	39	22	122
Kirk Gibson	17	23	0	44
Kris Bryant	35	20	3	31
Kurt Suzuki	21	23	0	0
Lance Berkman	98	44	8	107
Lance Johnson	32	17	13	44
Lance Parrish	107	32	0	35
Lance Richbourg	26	0	0	0
Larry Bowa	71	21	2	38
Larry Doby*	72	30	18	124
Larry Doyle	61	28	13	138
Larry Gardner	34	22	1	51
Larry Hisle	22	18	4	40
Larry Parrish	22	18	0	29
Larry Walker	148	58	24	116
Lave Cross	51	40	0	83
Lee May	35	21	4	84
Lefty O'Doul	92	31	11	77
Lenny Dykstra	39	21	12	41
Leo Cardenas	36	19	1	0
Leon Wagner	19	0	0	67
Levi Meyerle	40	26	15	84
Lew Fonseca	45	21	4	0
Lip Pike	37	23	26	121
Lloyd Waner*	89	31	10	71
Lonnie Smith	28	21	3	38
Lonny Frey	23	22	2	33
Lorenzo Cain	28	0	0	27
Lou Bierbauer	17	18	0	33
Lou Boudreau*	89	34	11	82
Lou Brock*	152	43	26	146
Lou Gehrig*	352	72	75	315
Lou Piniella	21	0	2	26
Lou Whitaker	93	43	0	31
Lu Blue	32	25	0	52
Luis Aparicio*	150	36	19	84
Luis Castillo	61	31	4	31
Luis Gonzalez	103	48	5	57
Luke Appling*	149	57	9	103
Luke Sewell	38	23	0	0
Lyman Bostock	17	20	0	0
Lyn Lary	18	25	3	32
Magglio Ordonez	114	42	6	86
Manny Machado	37	0	4	28
Manny Mota	24	18	0	0
Manny Ramirez	226	69	21	154
Manny Sanguillen	33	26	0	0
Manny Trillo	23	0	0	0
Marcus Giles	21	0	0	0
Mariano Duncan	22	0	1	0
Mark Belanger	59	0	0	0
Mark Grace	61	38	3	86
Mark Grudzielanek	49	25	3	0
Mark Koenig	20	0	0	0
Mark Loretta	27	23	0	0
Mark McGwire	170	42	36	110
Mark Teixeira	109	33	13	78
Mark Trumbo	24	0	4	24
Marquis Grissom	48	26	5	40
Martin Prado	21	0	0	29
Marty Marion	57	0	3	0
Marty McManus	26	30	4	60
Matt Carpenter	40	22	12	53
Matt Holliday	110	41	13	107
Matt Kemp	51	26	12	67
Matt Wieters	18	25	0	0
Matt Williams	70	29	8	58
Matty Alou	53	20	11	57
Maury Wills	104	30	16	67
Max Bishop	28	29	2	29
Max Carey*	79	36	32	148
Mel Ott*	216	69	50	277
Melky Cabrera	30	0	0	32
Melvin Mora	19	19	0	0
Michael Brantley	30	20	2	28
Michael Cuddyer	26	19	4	0
Michael Young	112	36	11	81
Mickey Cochrane*	137	54	0	77
Mickey Mantle*	301	65	62	272
Mickey Owen	17	21	0	0
Mickey Rivers	35	0	4	48
Mickey Tettleton	17	28	2	41
Mickey Vernon	72	33	14	149
Miguel Cabrera	263	62	43	241
Miguel Tejada	149	44	13	80
Mike Donlin	65	32	3	103
Mike Greenwell	34	23	0	45
Mike Griffin	54	34	5	40
Mike Kreevich	17	0	1	0
Mike Lowell	41	23	0	0
Mike Matheny	32	21	0	0
Mike Napoli	17	25	0	0
Mike Piazza*	207	62	0	101
Mike Schmidt*	250	56	74	224
Mike Scioscia	35	27	0	0
Mike Smith	40	32	0	38
Mike Sweeney	49	28	0	27
Mike Tiernan	69	42	17	119
Mike Trout	116	41	30	119
Milt Stock	23	19	2	63
Minnie Minoso	87	35	15	189
Mo Vaughn	87	30	4	78
Moises Alou	81	44	0	64
Monte Irvin*	18	19	4	33
Mookie Betts	75	26	11	65
Moose Solters	30	0	0	32
Muddy Ruel	49	28	0	0
Mule Haas	25	17	0	0
Nap Lajoie*	264	66	76	266
Nellie Fox*	163	32	23	131
Nelson Cruz	65	24	8	64
Nick Etten	22	0	10	68
Nick Markakis	36	25	2	76
Nolan Arenado	79	20	23	89
Nomar Garciaparra	113	41	15	78
Norm Cash	50	29	7	104
Norm Siebern	27	0	3	47
Odell Hale	23	23	0	28
Omar Infante	17	0	0	0
Omar Vizquel	120	42	0	25
Orlando Cabrera	46	25	2	33
Orlando Cepeda*	126	37	14	196
Orlando Hudson	21	18	0	0
Oyster Burns	45	27	10	96
Ozzie Guillen	31	17	0	0
Ozzie Smith*	143	35	2	51
Pablo Sandoval	21	0	0	0
Pat Burrell	20	24	0	26
Pat Duncan	17	17	0	0
Patsy Donovan	60	32	2	32
Patsy Dougherty	24	0	13	51
Paul Blair	36	0	1	28
Paul Goldschmidt	71	31	13	87
Paul Hines	52	29	30	186
Paul Konerko	80	36	0	58
Paul Lo Duca	21	26	0	0
Paul Molitor*	166	59	24	145
Paul O'Neill	71	37	4	45
Paul Waner*	253	61	37	194
Pedro Guerrero	54	29	5	84
Pee Wee Reese*	100	39	7	102
Pepper Martin	49	21	9	43
Pete Browning	97	35	21	147
Pete Fox	32	19	0	56
Pete Reiser	39	0	17	44
Pete Rose	311	55	64	239
Pete Runnels	45	25	8	64
Phil Bradley	18	18	0	28
Phil Cavarretta	42	22	7	73
Phil Garner	17	17	1	0
Phil Masi	20	26	0	0
Phil Nevin	23	19	0	0
Phil Rizzuto*	87	23	0	46
Pie Traynor*	96	43	2	134
Pinky Higgins	27	30	0	34
Pinky Whitney	39	23	0	42
Placido Polanco	42	26	0	0
Preston Wilson	19	0	4	0
Prince Fielder	85	27	14	100
Rabbit Maranville*	59	30	2	50
Rafael Furcal	54	32	1	39
Rafael Palmeiro	178	57	8	183
Ralph Garr	54	20	9	56
Ralph Kiner*	137	35	52	145
Ramon Hernandez	43	26	0	0
Randy Winn	20	19	0	24
Raul Ibanez	38	27	1	29
Raul Mondesi	21	20	0	32
Ray Blades	22	21	0	0
Ray Boone	21	21	4	45
Ray Chapman	20	25	5	41
Ray Durham	64	33	0	41
Ray Fosse	21	0	0	0
Ray Grimes	27	30	0	24
Ray Knight	20	0	0	28
Ray Lankford	23	26	1	45
Ray Schalk*	56	25	0	0
Red Kress	24	21	1	30
Red Rolfe	74	21	9	47
Red Schoendienst*	110	30	9	92
Reggie Jackson*	171	54	35	175
Reggie Sanders	18	27	0	31
Reggie Smith	65	35	4	124
Rich Aurilia	31	20	3	0
Richard Hidalgo	19	0	0	0
Richie Ashburn*	112	41	32	156
Richie Sexson	46	21	0	35
Richie Zisk	21	20	0	39
Rick Burleson	20	17	2	0
Rick Cerone	19	21	0	0
Rick Dempsey	56	22	0	0
Rick Ferrell*	109	34	0	0
Rickey Henderson*	181	53	50	143
Rico Carty	32	25	4	35
Rico Petrocelli	19	21	0	49
Riggs Stephenson	57	32	2	41
Rip Radcliff	43	22	3	0
Ripper Collins	43	21	8	70
Roberto Alomar*	194	57	3	95
Roberto Clemente*	231	51	23	154
Robin Ventura	34	31	0	0
Robin Yount*	132	52	14	120
Robinson Cano	155	48	1	138
